id,branch_name,full_address,city
43,"VC Nguyen Duy
Trinh","TTTM Vincom Plaza, 307 Nguyễn
Duy Trinh P.Bình Trưng Tây
TP.Thủ Đức",TP.HCM
44,Crescent Mall HCM,"TTTM Crescent Mall, 101 Tôn
Dật Tiên P.Tân Phú Q.7",TP.HCM
45,"Vincom Nam Long -
HCM","TTTM Vincom Plaza Trần Trọng
Cung P.Tân Thuận Đông Q.7",TP.HCM
46,"Vincom Saigonres -
HCM","TTTM Vincom Plaza, 181 Nguyễn
Xí P.26 Q.Bình Thạnh",TP.HCM
47,Lotte Mart 2 - HCM,"469 Nguyễn Hữu Thọ P.Tân Hưng
Q.7",TP.HCM
48,Le Van Sy - HCM,188 Lê Văn Sỹ P.10 Q.Phú Nhuận,TP.HCM
49,Xuan Thuy D2 - HCM,"64 Xuân Thủy P.Thảo Điền
TP.Thủ Đức",TP.HCM
50,Calmette - HCM,"161-163 Calmette P.Nguyễn Thái
Bình Q.1",TP.HCM
51,Bach Dang - HCM,58E Bạch Đằng P.2 Q.Tân Bình,TP.HCM
52,"Vinhome Central Park
- HCM","Shophouse P1.09 Vinhomes
Central Park, 208 Nguyễn Hữu
Cảnh P.22 Q.Bình Thạnh",TP.HCM
53,Bau Cat - HCM,1-3-5 Bàu Cát P.14 Q.Tân Bình,TP.HCM
54,Trade Center - HCM,11 Sư Vạn Hạnh P.12 Q.10,TP.HCM
55,Binh Phu - HCM,61-63-65 Bình Phu P.11 Q.6,TP.HCM
56,City Museum,65 Lý Tự Trọng P.Bến Nghé Q.1,TP.HCM
57,Luy Ban Bich - HCM,"462 Lũy Bán Bích P.Hòa Thạnh
Q.Tân Phú",TP.HCM
58,L16 Him Lam - HCM,L16 Him Lam P.Tân Hưng Q.7,TP.HCM
59,"331 Le Van Viet -
HCM","331 Lê Văn Việt P.Hiệp Phú
TP.Thủ Đức",TP.HCM
60,New City - HCM,"17 Mai Chí Thọ P.An Khánh
TP.Thủ Đức",TP.HCM
61,Riverside D7 - HCM,"Shop House ST-01 Khối E,Tầng 1
tòa nhà Riverside Resident,182
Nguyễn Lương Bằng P.Phú Mỹ
Q.7",TP.HCM
62,Botanica - HCM,"Tòa nhà Botanica, 104 Phổ Quang
P.2 Q.Tân Bình",TP.HCM
63,"Nguyen Trong Tuyen
HCM","129 Nguyễn Trọng Tuyển P.15
Q.Phú Nhuận",TP.HCM
64,Landmark 81,"Gian hàng B1-K2, TTTM Vincom
Lanmark, Số 772 Điện Biên Phủ
P.22 Q.Bình Thạnh",TP.HCM
65,Ly Chinh Thang HCM,"45 Lý Chính Thắng P.Võ Thị Sáu
Q.3",TP.HCM
66,"225 Nguyen Dinh
Chieu HCM",225 Nguyễn Đình Chiểu P.5 Q.3,TP.HCM
67,Central Mall Cu Chi,"1239 Tỉnh lộ 08 X.Tân Thạnh
Đông H.Củ Chi",TP.HCM
68,Phan Huy Ich - HCM,399 Phan Huy Ích P.14 Q.Gò Vấp,TP.HCM
69,"Trung My Tay D12 -
HCM","371 Nguyễn Ảnh Thủ P.Trung Mỹ
Tây Q.12",TP.HCM
70,Huynh Tan Phat HCM,"721 Huỳnh Tấn Phát P.Phú Thuận
Q.7",TP.HCM
71,Lam Van Ben HCM,184 Lâm Văn Bền P.Tân Quy Q.7,TP.HCM
72,"1180 Quang Trung Go
Vap HCM",1180 Quang Trung P.8 Q.Gò Vấp,TP.HCM
73,"506 Truong Chinh
HCM","506 Trường Chinh P.13 Q.Tân
Bình",TP.HCM
74,601 CMT8 HCM,"601 Cách Mạng Tháng Tám P.15
Q.10",TP.HCM
75,"Sense City Thu Duc
HCM","240-242 Kha Vạn Cân P.Hiệp Bình
Chánh TP.Thủ Đức",TP.HCM
76,Thach Lam HCM,"180 Thạch Lam P.Phú Thạnh
Q.Tân Phú",TP.HCM
77,210 Nguyen Trai HCM,"210 Nguyễn Trãi P.Phạm Ngũ Lão
Q.1",TP.HCM
78,Tran Nao HCM,"41 Trần Não P.An Khánh TP.Thủ
Đức",TP.HCM
79,Le Duc Tho HCM,57 Lê Đức Thọ P.7 Q.Gò Vấp,TP.HCM
80,"Nguyen Van Luong D6
HCM",240 Nguyễn Văn Lương P.11 Q.6,TP.HCM
81,"TTC Ung Van Khiem
HCM","Tang 1, So 26 Ung Văn Khiêm
P.25 Q.Bình Thạnh",TP.HCM
82,"Nguyen Anh Thu
HCM","23A Nguyễn Ảnh Thủ P.Hiệp
Thành Q.12",TP.HCM
83,"Centre Mall Binh
Chanh HCM","C6/27 Phạm Hùng X.Bình Hưng
H.Bình Chánh",TP.HCM
84,Saigon Pavillon HCM,"53-55 Bà Huyện Thanh Quan P.Võ
Thị Sáu Q.3",TP.HCM
85,"G4 G8 Truong Son
HCM",G4-G8 Trường Sơn P.15 Q.10,TP.HCM
86,Dang Van Bi HCM,"173 Đặng Văn Bi P.Trường Thọ
TP.Thủ Đức",TP.HCM
87,"Nguyen Van Qua D12
HCM","117 Nguyễn Văn Quá P.Tân Hưng
Thuận Q.12",TP.HCM
88,Pham Van Chieu HCM,"158 Phạm Văn Chiêu P.9 Q.Gò
Vấp",TP.HCM
89,"Ly Thuong Kiet Hoc
Mon HCM","27/5A Lý Thường Kiệt TT.Hóc
Môn H.Hóc Môn",TP.HCM
90,Riviera Point D7,"02 Nguyễn Văn Tưởng P.Tân Phú
Q.7",TP.HCM
91,119 Ham Nghi HCM,"119-125 Hàm Nghi P.Nguyễn Thái
Bình Q.1",TP.HCM
92,"Lanh Binh Thang
HCM",281A Lãnh Binh Thăng P.8 Q.11,TP.HCM
93,"Vinhome Ba Son
HCM","SH02, AQUA 4, Vinhomes Ba Son
Nguyễn Hữu Cảnh P.Bến Nghé
Q.1",TP.HCM
94,Lexington D2 HCM,"69 Mai Chí Thọ P.An Phú TP.Thủ
Đức",TP.HCM
95,278 Au Co HCM,"287 Âu Cơ P.Phú Trung Q.Tân
Phú",TP.HCM
96,"Ly Thuong Kiet D11
HCM",A1 319 Lý Thường Kiệt P.15 Q.11,TP.HCM
97,Cienco 4 HCM,"180 Nguyễn Thị Minh Khai P.Võ
Thị Sáu Q.3",TP.HCM
98,"Do Xuan Hop D9
HCM","323 Đỗ Xuân Hợp P.Phước Long
B TP.Thủ Đức",TP.HCM
99,Le Quang Dinh HCM,"359A Lê Quang Định P.5 Q.Bình
Thạnh",TP.HCM
100,Nguyen Xi HCM,154 Nguyễn Xí P.26 Q.Bình Thạnh,TP.HCM
101,Sunrise View City,"B1.19 Nguyễn Hữu Thọ P..Tân
Hưng Q.7",TP.HCM
102,SGGP Tower HCM,"436-438 Nguyễn Thị Minh Khai
P.Võ Thị Sáu Q.3",TP.HCM
103,The Sun Avenue HCM,"28 Mai Chí Thọ P.An Phú TP.Thủ
Đức",TP.HCM
104,"Dinh Tien Hoang
HCM","127C Đinh Tiên Hoàng P.3 Q.Bình
Thạnh",TP.HCM
105,Saigon Royal HCM,34 Bến Vân Đồn P.13 Q.4,TP.HCM
106,Ta Uyen HCM,134 Tạ Uyên P.4 Q.11,TP.HCM
107,Trung Son HCM,"195 Đường số 9A X.Bình Hưng
H.Bình Chánh",TP.HCM
108,Hoang Viet HCM,26A Hoàng Việt P.4 Q.Tân Bình,TP.HCM
109,"Nguyen Chi Thanh
HCM",82 Nguyễn Chí Thanh P.13 Q.10,TP.HCM
110,"402 Tran Hung Dao
HCM",402-404 Trần Hưng Đạo P.11 Q.5,TP.HCM
111,Flora Thu Duc HCM,"Flora Novia Phạm Văn Đồng
P.Linh Tây TP.Thủ Đức",TP.HCM
112,Tan Ky Tan Quy HCM,"377 Tân Kỳ Tân Quý P.Tân Quý
Q.Tân Phú",TP.HCM
113,Le Quy Don HCM,33 Lê Quý Đôn P.Võ Thị Sáu Q.3,TP.HCM
114,Vuon Lai HCM,"55 Vườn Lài P.Phú Thọ Hòa
Q.Tân Phú",TP.HCM
115,"Nguyen Cong Tru
HCM","166 Nguyễn Công Trứ P.Nguyễn
Thái Bình Q.1",TP.HCM
116,"255 Luy Ban Bich
HCM","255 Lũy Bán Bích P.Hiệp Tân
Q.Tân Phú",TP.HCM
117,Nguyen Kim - BD,"1 Trần Hưng Đạo P.Phú Cường
TP.Thủ Dầu Một",Bình Dương
118,Dai Lo Binh Duong,"325 Đại Lộ Bình Dương P.Chánh
Nghĩa TP.Thủ Dầu Một",Bình Dương
119,"Big C Di An Binh
Duong","Big C Di An Binh Duong Quốc Lộ
1K P.Đông Hòa TP.Dĩ An",Bình Dương
120,"Coop Mart Binh
Duong","Coop Mart Binh Duong 30 tháng 4
P.Chánh Nghĩa TP.Thủ Dầu Một",Bình Dương
121,Bình Dương Square,"1 Phú Lợi P.Phú Lợi TP.Thủ Dầu
Một",Bình Dương
122,"Nguyen Van Tiet Binh
Duong","80 Nguyễn Văn Tiết P.Lái Thiêu
TP.Thuận An",Bình Dương
123,"540 Dai Lo Binh
Duong","540 Đại Lộ Bình Dương P.Hiệp
Thành TP.Thủ Dầu Một",Bình Dương
124,Phan Dinh Phung BD,"43 Phan Đình Phùng P.Lái Thiêu
TP.Thuận An",Bình Dương
125,"Ly Thuong Kiet Binh
Duong","5 Lý Thường Kiệt P.Dĩ An TP.Dĩ
An",Bình Dương
126,"Vincom Plaza Di An
Binh Duong","Vincom Plaza Dĩ An Bình Dương
Tỉnh lộ 743 P.Dĩ An TP.Dĩ An",Bình Dương
127,Midori Park BDG,"H8 Tạo Lực 5 P.Hòa Phú TP.Thủ
Dầu Một",Bình Dương
128,Nguyen An Ninh BDG,"232 Nguyen An Ninh P.Dĩ An
TP.Dĩ An",Bình Dương
129,Phu Loi BDG,"265 Phú Lợi P.Phú Lợi TP.Thủ
Dầu Một",Bình Dương
130,Vincom - Can Tho,"2 Hùng Vương P.Thới Bình
Q.Ninh Kiều",Cần Thơ
131,Lotte Can Tho,"84 Mậu Thân P.An Hòa Q.Ninh
Kiều",Cần Thơ
132,"Vincom Xuan Khanh -
CT","209 Ba Mươi Tháng Tư P.Xuân
Khánh Q.Ninh Kiều",Cần Thơ
133,"No.1 Ba Thang Hai -
Can Tho","01 Ba Tháng Hai P.Xuân Khánh
Q.Ninh Kiều",Cần Thơ
134,"Nguyen Van Cu Can
Tho","398R Nguyễn Văn Cừ P.An Khánh
Q.Ninh Kiều",Cần Thơ
135,TTC Hotel Can Tho,"02 Hai Bà Trưng P.Tân An Q.Ninh
Kiều",Cần Thơ
136,Vincom - Bien Hoa,"1906 Phạm Văn Thuận P.Tân Mai
TP.Biên Hòa",Đồng Nai
137,210 No. 5 Bien Hoa,"210/5 Đường số 5 P.Tân Tiến
TP.Biên Hòa",Đồng Nai
138,BIG C - DONG NAI,"TTTM Big C Ngã 3 Vũng Tàu
P.Long Bình Tân TP.Biên Hòa",Đồng Nai
139,Dong Nai Hotel,"57 Phạm Văn Thuận P.Tân Mai
TP.Biên Hòa",Đồng Nai
140,Vo Thi Sau - BH,"K24 Võ Thị Sáu P.Thống Nhất
TP.Biên Hòa",Đồng Nai
141,"Le Duan Long Thanh
Dong Nai","299 Lê Duẩn TT.Long Thành
H.Long Thành",Đồng Nai
142,"Pham Van Thuan
Dong Nai","707 Phạm Văn Thuận P.Tam Hiệp
TP.Biên Hòa",Đồng Nai
143,Lotte Mart Dong Nai,"B3, Amata Quốc lộ 1A P.Long
Bình TP.Biên Hòa",Đồng Nai
144,"8C1 Dong Khoi Bien
Hoa","8C1 Đồng Khởi P.Tân Hiệp
TP.Biên Hòa",Đồng Nai
145,"Ba Thang Hai Dong
Nai","10 Ba Tháng Hai TT.Trảng Bom
H.Trảng Bom",Đồng Nai
146,Nha Trang Center,"20 Trần Phú P.Lộc Thọ TP.Nha
Trang",Khánh Hòa
147,Lotte Nha Trang,"58 23 Tháng 10 P.Phương Sơn
TP.Nha Trang",Khánh Hòa
148,"Vien Dong Hotel - Nha
Trang","15 Trần Hưng Đạo P.Lộc Thọ
TP.Nha Trang",Khánh Hòa
149,"Citadine Hotel - Nha
Trang","62 Trần Phú P.Lộc Thọ TP.Nha
Trang",Khánh Hòa
150,"Vincom Plaza Nha
Trang","44-46 Lê Thánh Tôn P.Lộc Thọ
TP.Nha Trang",Khánh Hòa
151,"Han Thuyen Nha
Trang","12 Hàn Thuyên P.Xương Huân
TP.Nha Trang",Khánh Hòa
152,"VietSky Hotel Nha
Trang","8 Lê Đại Hành P.Tân Lập TP.Nha
Trang",Khánh Hòa
153,Star City Nha Trang,"74 Trần Phú P.Lộc Thọ TP.Nha
Trang",Khánh Hòa
154,"Florida Hotel Nha
Trang","66 Quang Trung P.Vạn Thắng
TP.Nha Trang",Khánh Hòa
155,Da Tuong Nha Trang,"105 Dã Tượng P.Vĩnh Nguyên
TP.Nha Trang",Khánh Hòa
156,Le Hong Phong NT,"108 Lê Hồng Phong P.Phước Hải
TP.Nha Trang",Khánh Hòa
157,Hai Thang Tu NT,"112 Hai Tháng Tư P.Vĩnh Phước
TP.Nha Trang",Khánh Hòa
158,"Le Thanh Phuong Nha
Trang","53 Lê Thành Phương P.Vạn Thắng
TP.Nha Trang",Khánh Hòa
159,Vinh Diem Trung NT,"Lô 95 Đường A1, Vĩnh Điềm
Trung P.Vĩnh Phước TP.Nha
Trang",Khánh Hòa
160,"Kim Minh Plaza -
Vung Tau","54 Trần Hưng Đạo P.1 TP.Vũng
Tàu","Bà Rịa - Vũng
Tàu"
161,"Nguyen Thai Hoc -
Vung Tau","6 Nguyễn Thái Học P.7 TP.Vũng
Tàu","Bà Rịa - Vũng
Tàu"
162,Hoang Hoa Tham - VT,"148 Hoàng Hoa Thám P.2
TP.Vũng Tàu","Bà Rịa - Vũng
Tàu"
163,Tan Hoang Mao - VT,"1215C - 1215D Bạch Đằng
P.Phước Trung TP.Bà Rịa","Bà Rịa - Vũng
Tàu"
164,"Le Hong Phong - Vung
Tau","304 Lê Hồng Phong P.4 TP.Vũng
Tàu","Bà Rịa - Vũng
Tàu"
165,"KNG Phu My Vung
Tau","KNG Mall QL51 P.Phú Mỹ
TX.Phú Mỹ","Bà Rịa - Vũng
Tàu"
166,Lotte Mart Vung Tau,"Lotte Mart Vũng Tàu, 28 Ba
Tháng Hai P.8 TP.Vũng Tàu","Bà Rịa - Vũng
Tàu"
167,Ha Long Vung Tau,150 Hạ Long P.2 TP.Vũng Tàu,"Bà Rịa - Vũng
Tàu"
168,Hai Ba Trung Da Lat,01-03 Hai Bà Trưng P.6 TP.Đà Lạt,Lâm Đồng
169,Vincom - Da Nang,"910A Ngô Quyền P.An Hải Bắc
Q.Sơn Trà",Đà Nẵng
170,Indochina Da Nang,"74 Bạch Đằng P.Hải Châu 1 Q.Hải
Châu",Đà Nẵng
171,"Opera HAGL - Da
Nang","1 Nguyễn Văn Linh P.Nam Dương
Q.Hải Châu",Đà Nẵng
172,Lotte Mart Da Nang,"6 Nại Nam P.Hòa Cường Bắc
Q.Hải Châu",Đà Nẵng
173,Dien Bien Phu - DNG,"239 Đện Biên Phủ P.Hòa Khê
Q.Thanh Khê",Đà Nẵng
174,"Nguyen Huu Tho - Da
Nang","263 Nguyễn Hữu Thọ P.Khuê
Trung Q.Cẩm Lệ",Đà Nẵng
175,Tran Phu Da Nang,"214-216 Trần Phú P.Phước Ninh
Q.Hải Châu",Đà Nẵng
176,"Dang Thuy Tram Da
Nang","9 Đặng Thùy Trâm P.Hòa Thuận
Tây Q.Hải Châu",Đà Nẵng
177,Nui Thanh Da Nang,"179 Núi Thành P.Hòa Cường Bắc
Q.Hải Châu",Đà Nẵng
178,VTV8 Da Nang,"258 Bạch Đằng P.Phước Ninh
Q.Hải Châu",Đà Nẵng
179,"Nguyen Van Thoai Da
Nang","93-95 Nguyễn Văn Thoại P.An Hải
Đông Q.Sơn Trà",Đà Nẵng
180,"Phan Chu Trinh Da
Nang","185-185A Phan Châu Trinh
P.Phước Ninh Q.Hải Châu",Đà Nẵng
181,Azura Da Nang,"339 Trần Hưng Đạo P.An Hải Bắc
Q.Sơn Trà",Đà Nẵng
182,"Nguyen Van Linh Da
Nang","338 Nguyễn Văn Linh P.Thạc Gián
Q.Thanh Khê",Đà Nẵng
183,"Dai Hoc Su Pham Da
Nang","459 Tôn Đức Thắng P.Hòa Khánh
Nam Q.Liên Chiểu",Đà Nẵng
184,Ong Ich Khiem DNG,"203 Ông Ích Khiêm P.Thạch
Thang Q.Hải Châu",Đà Nẵng
185,Ngo Van So DNG,"68 –70 Ngô Văn Sở P.Hòa Khánh
Nam Q.Liên Chiểu",Đà Nẵng
186,Ton Duc Thang DNG,"277 Tôn Đức Thắng P.Hòa Minh
Q.Liên Chiểu",Đà Nẵng
187,Vincom Plaza - Hue,"50 Hùng Vượng P.Phú Nhuận
TP.Huế",Thừa Thiên Huế
188,Imperial Hotel Hue,8 Hùng Vượng P.Phú Hội TP.Huế,Thừa Thiên Huế
189,Park View Hotel Hue,9 Ngô Quyền P.Vĩnh Ninh TP.Huế,Thừa Thiên Huế
190,TNL Plaza Hue,"6 Trần Hưng Đạo P.Phú Hòa
TP.Huế",Thừa Thiên Huế
191,Nguyen Hue Hue,"8 Nguyễn Huệ P.Vĩnh Ninh
TP.Huế",Thừa Thiên Huế
192,"Hoang Dieu - Quang
Nam","6 Hoàng Diệu P.Minh An TP.Hội
An",Quảng Nam
193,"Vinh Hung Hotel
Quang Nam","121 Bà Triệu P.Cẩm Phô TP.Hội
An",Quảng Nam
194,"Coopmart Tam Ky
Quang Nam","7 Phan Châu Trinh P.Phước Hòa
TP.Tam Kỳ",Quảng Nam
195,Nguyen Cao Bac Ninh,"33 Nguyễn Cao P.Ninh Xá TP.Bắc
Ninh",Bắc Ninh
196,"Vincom Plaza Bac
Ninh","Tầng 1, TTTM Vincom Plaza Bắc
Ninh Trần Hưng Đạo P.Ninh Xá
TP.Bắc Ninh",Bắc Ninh
197,Mandala Hotel BN,"Tầng 1, Mandala Hotel Kinh
Dương Vương P.Suối Hoa TP.Bắc
Ninh",Bắc Ninh
198,Tu Son Super Market,"105 Phố Mới P.Đông Ngàn TX.Từ
Sơn",Bắc Ninh
199,Vincom Ha Nam,"Tầng 1, Vincom Plaza, 42 Biên
Hòa P.Minh Khai TP.Phủ Lý",Hà Nam
200,Flag Tower,"28A Điện Biên Phủ P.Điện Biên
Q.Ba Đình",Hà Nội
201,Lo Duc - Ha Noi,"127 Lò Đúc P.Đống Mác Q.Hai Bà
Trưng",Hà Nội
202,"Somerset Hoa Binh
HN","106 Hoàng Quốc Việt P.Nghĩa Đô
Q.Cầu Giấy",Hà Nội
203,Ho Guom HN,"T1, Hồ Gươm Plaza, 1-3-5 Đinh
Tiên Hoàng P.Hàng Bạc Q.Hoàn
Kiếm",Hà Nội
204,Big C HN,"222 Trần Duy Hưng P.Trung Hòa
Q.Cầu Giấy",Hà Nội
205,Opera GF HN,"1 Tràng Tiền P.Tràng Tiền Q.Hoàn
Kiếm",Hà Nội
206,Quan Thanh - HN,"23 Quán Thánh P.Quán Thánh
Q.Ba Đình",Hà Nội
207,VTC Online - HN,"Tầng 1, Tòa nhà VTC Online, 18
Tam Trinh P.Mai Động Q.Hoàng
Mai",Hà Nội
208,"Ho Guom Plaza Ha
Dong","104 Trần Phú P.Mộ Lao Q.Hà
Đông",Hà Nội
209,Handico Ha Noi,"Tầng 1, Tòa nhà Handico Phạm
Hùng P.Mễ Trì Q.Nam Từ Liêm",Hà Nội
210,Royal City - HN,"B2 Floor, 72A Nguyễn Trãi
P.Thượng Đình Q.Thanh Xuân",Hà Nội
211,"Savina Trang Tien -
HN","44 Tràng Tiền P.Tràng Tiền
Q.Hoàn Kiếm",Hà Nội
212,Chelsea Park Ha Noi,"Tầng 1, Toà nhà E1 Chelsea Park,
116 Trung Kính P.Yên Hòa Q.Cầu
Giấy",Hà Nội
213,Pullman - HN,"40 Cát Linh P.Cát Linh Q.Đống
Đa",Hà Nội
214,Le Duan - Ha Noi,"129 Lê Duẩn P.Cửa Nam Q.Hoàn
Kiếm",Hà Nội
215,VTV Outside - Ha Noi,"43 Nguyễn Chí Thanh P.Ngọc
Khánh Q.Ba Đình",Hà Nội
216,Sun Square - HN,"21 Lê Đức Thọ P.Mỹ Đình 2
Q.Nam Từ Liêm",Hà Nội
217,Fivi Mart - Ha Dong,"8 Quang Trung P.Quang Trung
Q.Hà Đông",Hà Nội
218,Rose Garden - HN,"170 Ngọc Khánh P.Thành Công
Q.Ba Đình",Hà Nội
219,SME Hoang Gia - HN,"Tầng 1, Tòa nhà SME Hoang Gia,
12 Tô Hiệu P.Quang Trung Q.Hà
Đông",Hà Nội
220,Fivimart My Dinh,"Tầng 1, Tòa nhà Thien Son Plaza,
89 Lê Đức Thọ P.Mỹ Đình 2
Q.Nam Từ Liêm",Hà Nội
221,Park Hill 8,"Tầng 1, Nhà chung cư P08, Khu đô
thị Park Hill Minh Khai P.Vĩnh
Tuy Q.Hai Bà Trưng",Hà Nội
222,Muong Thanh Xa La,"66 Phúc La Văn Phú P.Phúc La
Q.Hà Đông",Hà Nội
223,Ho Guom Kiosk - HN,"1-3-5-7 Đinh Tiên Hoàng P.Hàng
Bạc Q.Hoàn Kiếm",Hà Nội
224,Vincom Ba Trieu 5F,"Tầng 5, Vincom Plaza, 191 Bà
Triệu P.Lê Đại Hành Q.Hai Bà
Trưng",Hà Nội
225,ECOLIFE - Ha Noi,"58 Tố Hữu P.Trung Văn Q.Nam
Từ Liêm",Hà Nội
226,New Horizon - Ha Noi,"87 Lĩnh Nam P.Mai Động
Q.Hoàng Mai",Hà Nội
227,Bach Khoa University,"91 Trần Đại Nghĩa P.Bách Khoa
Q.Hai Bà Trưng",Hà Nội
228,"Vinhome Gardenia -
HN","Vinhome Gardenia, 12B Mỹ Đình
P.Cầu Diễn Q.Nam Từ Liêm",Hà Nội
229,"Fivimart Trang An -
HN","1 Phùng Chí Kiên P.Nghĩa Đô
Q.Cầu Giấy",Hà Nội
230,Green Star - Ha Noi,"232 Phạm Văn Đồng P.Cổ Nhuế 1
Q.Bắc Từ Liêm",Hà Nội
231,Airimex - Ha Noi,"414 Nguyễn Văn Cừ P.Bồ Đề
Q.Long Biên",Hà Nội
232,"BT5 Van Quan - Ha
Noi","BT5, Khu đô thị mới Văn Quán
Nguyễn Khuyến P.Văn Quán Q.Hà
Đông",Hà Nội
233,Five Star Kim Giang,"2 Kim Giang P.Kim Giang
Q.Thanh Xuân",Hà Nội
234,"Truong Dinh Plaza -
HN","461 Trương Định P.Tương Mai
Q.Hoàng Mai",Hà Nội
235,Machinco - Ha Noi,10 Trần Phú P.Mộ Lao Q.Hà Đông,Hà Nội
236,"Hoang Thanh Tower
Ha Noi","114 Mai Hắc Đế P.Lê Đại Hành
Q.Hai Bà Trưng",Hà Nội
237,Nguyen Trai Ha Noi,"495 Nguyễn Trãi P.Thanh Xuân
Nam Q.Thanh Xuân",Hà Nội
238,Rivera Park Ha Noi,"69 Vũ Trọng Phụng P.Thanh Xuân
Trung Q.Thanh Xuân",Hà Nội
239,Kiosk Ho Tay Ha Noi,"614 Lạc Long Quân P.Nhật Tân
Q.Tây Hồ",Hà Nội
240,Ho Tay Water Park,"614 Lạc Long Quân P.Nhật Tân
Q.Tây Hồ",Hà Nội
